[2025-08-08 10:11:02,008] INFO [Broker id=0] Leader __consumer_offsets-16 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,011] INFO [Broker id=0] Leader __consumer_offsets-2 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,015] INFO [Broker id=0] Leader __consumer_offsets-25 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,019] INFO [Broker id=0] Leader __consumer_offsets-40 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,023] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,027] INFO [Broker id=0] Leader __consumer_offsets-17 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,030] INFO [Broker id=0] Leader __consumer_offsets-32 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,034] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,038] INFO [Broker id=0] Leader __consumer_offsets-7 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,041] INFO [Broker id=0] Leader __consumer_offsets-22 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,045] INFO [Broker id=0] Leader __consumer_offsets-29 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,048] INFO [Broker id=0] Leader __consumer_offsets-44 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,052] INFO [Broker id=0] Leader __consumer_offsets-14 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,055] INFO [Broker id=0] Leader __consumer_offsets-23 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,059] INFO [Broker id=0] Leader __consumer_offsets-38 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,064] INFO [Broker id=0] Leader __consumer_offsets-8 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 479 with partition epoch 0, high watermark 479, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,064] INFO [Broker id=0] Leader __consumer_offsets-45 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,067] INFO [Broker id=0] Leader ts-stream-0 with topic id Some(zFhYSu21Q8yfVpU91H-zQw) starts at leader epoch 0 from offset 1160 with partition epoch 0, high watermark 1160, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,068] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,071] INFO [Broker id=0] Leader __consumer_offsets-30 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,075] INFO [Broker id=0] Leader __consumer_offsets-0 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,079] INFO [Broker id=0] Leader __consumer_offsets-35 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,083] INFO [Broker id=0] Leader __consumer_offsets-5 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,086] INFO [Broker id=0] Leader __consumer_offsets-20 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,089] INFO [Broker id=0] Leader __consumer_offsets-27 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,093] INFO [Broker id=0] Leader __consumer_offsets-42 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,096] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,100] INFO [Broker id=0] Leader __consumer_offsets-21 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,103] INFO [Broker id=0] Leader __consumer_offsets-36 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,107] INFO [Broker id=0] Leader __consumer_offsets-6 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,111] INFO [Broker id=0] Leader __consumer_offsets-43 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,115] INFO [Broker id=0] Leader __consumer_offsets-13 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,119] INFO [Broker id=0] Leader __consumer_offsets-28 with topic id Some(YlBDOolnSxi3EK4sQ4tkQA) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas [] . Previous leader None and previous leader epoch was -1. (state.change.logger)
[2025-08-08 10:11:02,132] INFO [Broker id=0] Finished LeaderAndIsr request in 233ms correlationId 1 from controller 0 for 51 partitions (state.change.logger)
[2025-08-08 10:11:02,138] INFO [Broker id=0] Add 51 partitions and deleted 0 partitions from metadata cache in response to UpdateMetadata request sent by controller 0 epoch 2 with correlation id 2 (state.change.logger)
